"GEO_ID","NAME","PCT016001","PCT016002","PCT016003","PCT016004","PCT016005","PCT016006","PCT016007","PCT016008","PCT016009","PCT016010","PCT016011","PCT016012","PCT016013","PCT016014","PCT016015","PCT016016","PCT016017","PCT016018","PCT016019","PCT016020","PCT016021","PCT016022","PCT016023","PCT016024","PCT016025","PCT016026"
"id","Geographic Area Name","Total","Total!!Family households","Total!!Family households!!Husband-wife family","Total!!Family households!!Husband-wife family!!With no children under 18 years","Total!!Family households!!Husband-wife family!!With one child under 18 years","Total!!Family households!!Husband-wife family!!With two children under 18 years","Total!!Family households!!Husband-wife family!!With three children under 18 years","Total!!Family households!!Husband-wife family!!With four or more children under 18 years","Total!!Family households!!Male householder, no wife present","Total!!Family households!!Male householder, no wife present!!With no children under 18 years","Total!!Family households!!Male householder, no wife present!!With one child under 18 years","Total!!Family households!!Male householder, no wife present!!With two children under 18 years","Total!!Family households!!Male householder, no wife present!!With three children under 18 years","Total!!Family households!!Male householder, no wife present!!With four or more children under 18 years","Total!!Family households!!Female householder, no husband present","Total!!Family households!!Female householder, no husband present!!With no children under 18 years","Total!!Family households!!Female householder, no husband present!!With one child under 18 years","Total!!Family households!!Female householder, no husband present!!With two children under 18 years","Total!!Family households!!Female householder, no husband present!!With three children under 18 years","Total!!Family households!!Female householder, no husband present!!With four or more children under 18 years","Total!!Nonfamily households","Total!!Nonfamily households!!With no children under 18 years","Total!!Nonfamily households!!With one child under 18 years","Total!!Nonfamily households!!With two children under 18 years","Total!!Nonfamily households!!With three children under 18 years","Total!!Nonfamily households!!With four or more children under 18 years"
"1400000US53033030003","Census Tract 300.03, King County, Washington","2292","1471","1134","664","200","164","77","29","123","61","37","17","6","2","214","76","66","39","22","11","821","814","6","1","0","0"
"1400000US53061052607","Census Tract 526.07, Snohomish County, Washington","1932","1559","1315","527","288","346","110","44","90","36","29","16","7","2","154","41","59","37","13","4","373","361","6","6","0","0"
"1400000US53057952700","Census Tract 9527, Skagit County, Washington","1374","1034","888","553","123","130","51","31","61","30","16","10","4","1","85","35","18","21","8","3","340","334","5","1","0","0"
"1400000US53033008600","Census Tract 86, King County, Washington","2006","334","205","157","24","16","4","4","44","27","12","3","1","1","85","43","31","8","3","0","1672","1671","1","0","0","0"
"1400000US53045960800","Census Tract 9608, Mason County, Washington","1585","821","496","294","78","72","34","18","111","37","45","15","4","10","214","65","77","39","22","11","764","756","6","2","0","0"
"1400000US53033029102","Census Tract 291.02, King County, Washington","1477","1038","763","445","116","124","52","26","87","31","25","22","7","2","188","62","64","35","14","13","439","430","9","0","0","0"
"1400000US53033000600","Census Tract 6, King County, Washington","3345","1768","1275","768","237","190","59","21","152","76","46","21","8","1","341","145","131","43","12","10","1577","1564","11","2","0","0"
"1400000US53007961200","Census Tract 9612, Chelan County, Washington","1363","1066","910","536","152","137","54","31","67","25","16","15","10","1","89","38","22","20","4","5","297","291","4","2","0","0"
"1400000US53077000100","Census Tract 1, Yakima County, Washington","908","405","174","65","34","23","27","25","62","23","18","14","4","3","169","28","50","50","27","14","503","500","2","0","1","0"
"1400000US53033022801","Census Tract 228.01, King County, Washington","3704","2077","1736","942","449","262","69","14","105","60","33","9","3","0","236","93","81","44","11","7","1627","1622","4","1","0","0"
"1400000US53011040509","Census Tract 405.09, Clark County, Washington","1192","760","493","279","90","77","30","17","89","35","32","14","4","4","178","59","53","43","11","12","432","420","6","5","1","0"
"1400000US53053072105","Census Tract 721.05, Pierce County, Washington","1858","1277","1071","783","125","109","33","21","49","28","10","10","1","0","157","77","46","25","6","3","581","578","2","1","0","0"
"1400000US53029971100","Census Tract 9711, Island County, Washington","1459","1002","869","637","90","103","31","8","39","15","13","8","3","0","94","30","29","21","8","6","457","452","3","2","0","0"
"1400000US53033028902","Census Tract 289.02, King County, Washington","2366","1460","809","353","161","167","80","48","178","71","60","31","11","5","473","117","172","111","42","31","906","894","9","1","1","1"
"1400000US53011040508","Census Tract 405.08, Clark County, Washington","2240","1787","1446","780","235","278","99","54","105","35","34","19","11","6","236","80","78","45","26","7","453","449","0","4","0","0"
