"county","tract","cbsa13","cntyname","cbsaname","pop10","afact"
"County code","Tract","cbsa13","County name","2013 CBSA name","Total population (2010)","tract to cbsa13 allocation factor"
"53011","0408.08","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",1605,1 
"53011","0408.09","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",6176,1 
"53011","0408.10","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",2728,1 
"53011","0409.04","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",5797,1 
"53011","0409.05","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",3157,1 
"53011","0409.07","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",4661,1 
"53011","0409.08","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",6161,1 
"53011","0409.09","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",5088,1 
"53011","0409.10","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",4369,1 
"53011","0410.03","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",3968,1 
"53011","0410.05","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",2370,1 
"53011","0410.07","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",3066,1 
"53011","0410.08","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",3754,1 
"53011","0410.09","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",3578,1 
"53011","0410.10","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",3385,1 
"53011","0410.11","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",2994,1 
"53011","0411.04","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",3799,1 
"53011","0411.05","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",5206,1 
"53011","0411.07","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",2504,1 
"53011","0411.08","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",6626,1 
"53011","0411.10","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",5849,1 
"53011","0411.11","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",3096,1 
"53011","0411.12","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",5249,1 
"53011","0412.01","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",6339,1 
"53011","0412.03","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",4543,1 
"53011","0412.05","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",4649,1 
"53011","0412.06","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",5535,1 
"53011","0413.09","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",4802,1 
"53011","0413.10","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",4746,1 
"53011","0413.12","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",4038,1 
"53011","0413.13","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",2534,1 
"53011","0413.17","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",4080,1 
"53011","0413.18","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",4733,1 
"53011","0413.19","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",6022,1 
"53011","0413.20","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",5941,1 
"53011","0413.21","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",2808,1 
"53011","0413.22","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",4386,1 
"53011","0413.23","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",5458,1 
"53011","0413.25","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",5059,1 
"53011","0413.26","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",2499,1 
"53011","0413.27","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",8381,1 
"53011","0413.28","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",5558,1 
"53011","0413.29","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",3951,1 
"53011","0413.30","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",4436,1 
"53011","0413.31","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",2565,1 
"53011","0413.32","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",3622,1 
"53011","0413.33","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",3270,1 
"53011","0414.00","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",5075,1 
"53011","0415.00","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",2732,1 
"53011","0416.00","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",3603,1 
"53011","0417.00","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",3919,1 
"53011","0418.00","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",4037,1 
"53011","0419.00","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",2056,1 
"53011","0420.00","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",1603,1 
"53011","0421.00","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",3155,1 
"53011","0423.00","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",2858,1 
"53011","0424.00","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",1995,1 
"53011","0425.00","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",1176,1 
"53011","0426.00","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",4653,1 
"53011","0427.00","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",4320,1 
"53011","0428.00","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",2772,1 
"53011","0429.00","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",1545,1 
"53011","0430.00","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",1756,1 
"53011","0431.00","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",3884,1 
"53013","9602.00","47460","Columbia WA","Walla Walla, WA (Metro)",4078,1 
"53015","0003.00","31020","Cowlitz WA","Longview, WA (Metro)",509,1 
