"state","puma12","county","tract","stab","cntyname","PUMAname","pop10","afact"
"State code","puma12","County code","Tract","State abbreviation","County name","PUMA12 name","Total population (2010)","puma12 to tract allocation factor"
"53","10400","53047","9706.00","WA","Okanogan WA","Stevens, Okanogan, Pend Oreille & Ferry Counties",6714,0.064 
"53","10400","53047","9707.00","WA","Okanogan WA","Stevens, Okanogan, Pend Oreille & Ferry Counties",4286,0.041 
"53","10400","53047","9708.00","WA","Okanogan WA","Stevens, Okanogan, Pend Oreille & Ferry Counties",4930,0.047 
"53","10400","53047","9709.00","WA","Okanogan WA","Stevens, Okanogan, Pend Oreille & Ferry Counties",2220,0.021 
"53","10400","53047","9710.00","WA","Okanogan WA","Stevens, Okanogan, Pend Oreille & Ferry Counties",3670,0.035 
"53","10400","53051","9701.00","WA","Pend Oreille WA","Stevens, Okanogan, Pend Oreille & Ferry Counties",2099,0.02 
"53","10400","53051","9702.00","WA","Pend Oreille WA","Stevens, Okanogan, Pend Oreille & Ferry Counties",2649,0.025 
"53","10400","53051","9703.00","WA","Pend Oreille WA","Stevens, Okanogan, Pend Oreille & Ferry Counties",3300,0.031 
"53","10400","53051","9704.00","WA","Pend Oreille WA","Stevens, Okanogan, Pend Oreille & Ferry Counties",2682,0.025 
"53","10400","53051","9705.00","WA","Pend Oreille WA","Stevens, Okanogan, Pend Oreille & Ferry Counties",2271,0.022 
"53","10400","53065","9410.00","WA","Stevens WA","Stevens, Okanogan, Pend Oreille & Ferry Counties",2094,0.02 
"53","10400","53065","9501.00","WA","Stevens WA","Stevens, Okanogan, Pend Oreille & Ferry Counties",7292,0.069 
"53","10400","53065","9502.00","WA","Stevens WA","Stevens, Okanogan, Pend Oreille & Ferry Counties",3923,0.037 
"53","10400","53065","9503.00","WA","Stevens WA","Stevens, Okanogan, Pend Oreille & Ferry Counties",2573,0.024 
"53","10400","53065","9505.00","WA","Stevens WA","Stevens, Okanogan, Pend Oreille & Ferry Counties",2352,0.022 
"53","10400","53065","9506.00","WA","Stevens WA","Stevens, Okanogan, Pend Oreille & Ferry Counties",2265,0.022 
"53","10400","53065","9507.00","WA","Stevens WA","Stevens, Okanogan, Pend Oreille & Ferry Counties",2543,0.024 
"53","10400","53065","9508.00","WA","Stevens WA","Stevens, Okanogan, Pend Oreille & Ferry Counties",3277,0.031 
"53","10400","53065","9509.00","WA","Stevens WA","Stevens, Okanogan, Pend Oreille & Ferry Counties",1548,0.015 
"53","10400","53065","9511.00","WA","Stevens WA","Stevens, Okanogan, Pend Oreille & Ferry Counties",3596,0.034 
"53","10400","53065","9513.00","WA","Stevens WA","Stevens, Okanogan, Pend Oreille & Ferry Counties",4287,0.041 
"53","10400","53065","9514.00","WA","Stevens WA","Stevens, Okanogan, Pend Oreille & Ferry Counties",7781,0.074 
"53","10501","53063","0002.00","WA","Spokane WA","Spokane County (North Central)--Spokane City (North)",4654,0.037 
"53","10501","53063","0003.00","WA","Spokane WA","Spokane County (North Central)--Spokane City (North)",5408,0.043 
"53","10501","53063","0004.00","WA","Spokane WA","Spokane County (North Central)--Spokane City (North)",4110,0.033 
"53","10501","53063","0005.00","WA","Spokane WA","Spokane County (North Central)--Spokane City (North)",3403,0.027 
"53","10501","53063","0006.00","WA","Spokane WA","Spokane County (North Central)--Spokane City (North)",3014,0.024 
"53","10501","53063","0007.00","WA","Spokane WA","Spokane County (North Central)--Spokane City (North)",4978,0.039 
"53","10501","53063","0008.00","WA","Spokane WA","Spokane County (North Central)--Spokane City (North)",4776,0.038 
"53","10501","53063","0009.00","WA","Spokane WA","Spokane County (North Central)--Spokane City (North)",6066,0.048 
