"county","tract","state","puma12","stab","cntyname","PUMAname","pop10","afact"
"County code","Tract","State code","puma12","State abbreviation","County name","PUMA12 name","Total population (2010)","tract to puma12 allocation factor"
"53011","0403.01","53","11104","WA","Clark WA","Clark County (North)--Battle Ground City & Orchards",1471,1 
"53011","0403.02","53","11104","WA","Clark WA","Clark County (North)--Battle Ground City & Orchards",6256,1 
"53011","0404.03","53","11104","WA","Clark WA","Clark County (North)--Battle Ground City & Orchards",3848,1 
"53011","0404.07","53","11104","WA","Clark WA","Clark County (North)--Battle Ground City & Orchards",5343,1 
"53011","0404.08","53","11104","WA","Clark WA","Clark County (North)--Battle Ground City & Orchards",3454,1 
"53011","0404.09","53","11102","WA","Clark WA","Clark County (West Central)--Salmon Creek & Hazel Dell",1834,1 
"53011","0404.11","53","11102","WA","Clark WA","Clark County (West Central)--Salmon Creek & Hazel Dell",1874,1 
"53011","0404.12","53","11102","WA","Clark WA","Clark County (West Central)--Salmon Creek & Hazel Dell",4333,1 
"53011","0404.13","53","11104","WA","Clark WA","Clark County (North)--Battle Ground City & Orchards",2707,1 
"53011","0404.14","53","11104","WA","Clark WA","Clark County (North)--Battle Ground City & Orchards",5935,1 
"53011","0404.15","53","11104","WA","Clark WA","Clark County (North)--Battle Ground City & Orchards",3839,1 
"53011","0404.16","53","11104","WA","Clark WA","Clark County (North)--Battle Ground City & Orchards",3199,1 
"53011","0405.04","53","11104","WA","Clark WA","Clark County (North)--Battle Ground City & Orchards",4883,1 
"53011","0405.05","53","11104","WA","Clark WA","Clark County (North)--Battle Ground City & Orchards",5584,1 
"53011","0405.07","53","11103","WA","Clark WA","Clark County (Southeast)--Vancouver (East), Camas & Washougal Cities",1998,1 
"53011","0405.08","53","11103","WA","Clark WA","Clark County (Southeast)--Vancouver (East), Camas & Washougal Cities",6310,1 
"53011","0405.09","53","11103","WA","Clark WA","Clark County (Southeast)--Vancouver (East), Camas & Washougal Cities",2990,1 
"53011","0405.10","53","11103","WA","Clark WA","Clark County (Southeast)--Vancouver (East), Camas & Washougal Cities",5032,1 
"53011","0405.11","53","11104","WA","Clark WA","Clark County (North)--Battle Ground City & Orchards",2188,1 
"53011","0406.03","53","11104","WA","Clark WA","Clark County (North)--Battle Ground City & Orchards",4683,1 
"53011","0406.04","53","11103","WA","Clark WA","Clark County (Southeast)--Vancouver (East), Camas & Washougal Cities",5486,1 
"53011","0406.05","53","11103","WA","Clark WA","Clark County (Southeast)--Vancouver (East), Camas & Washougal Cities",4680,1 
"53011","0406.08","53","11103","WA","Clark WA","Clark County (Southeast)--Vancouver (East), Camas & Washougal Cities",3817,1 
"53011","0406.09","53","11103","WA","Clark WA","Clark County (Southeast)--Vancouver (East), Camas & Washougal Cities",4508,1 
"53011","0406.10","53","11103","WA","Clark WA","Clark County (Southeast)--Vancouver (East), Camas & Washougal Cities",3193,1 
"53011","0407.03","53","11104","WA","Clark WA","Clark County (North)--Battle Ground City & Orchards",6384,1 
"53011","0407.06","53","11104","WA","Clark WA","Clark County (North)--Battle Ground City & Orchards",3702,1 
"53011","0407.07","53","11104","WA","Clark WA","Clark County (North)--Battle Ground City & Orchards",3245,1 
"53011","0407.09","53","11104","WA","Clark WA","Clark County (North)--Battle Ground City & Orchards",4196,1 
"53011","0407.10","53","11104","WA","Clark WA","Clark County (North)--Battle Ground City & Orchards",4705,1 
"53011","0407.11","53","11104","WA","Clark WA","Clark County (North)--Battle Ground City & Orchards",3098,1 
"53011","0407.12","53","11104","WA","Clark WA","Clark County (North)--Battle Ground City & Orchards",5413,1 
"53011","0408.03","53","11102","WA","Clark WA","Clark County (West Central)--Salmon Creek & Hazel Dell",5035,1 
"53011","0408.05","53","11102","WA","Clark WA","Clark County (West Central)--Salmon Creek & Hazel Dell",5735,1 
"53011","0408.06","53","11102","WA","Clark WA","Clark County (West Central)--Salmon Creek & Hazel Dell",4611,1 
"53011","0408.08","53","11102","WA","Clark WA","Clark County (West Central)--Salmon Creek & Hazel Dell",1605,1 
"53011","0408.09","53","11102","WA","Clark WA","Clark County (West Central)--Salmon Creek & Hazel Dell",6176,1 
"53011","0408.10","53","11102","WA","Clark WA","Clark County (West Central)--Salmon Creek & Hazel Dell",2728,1 
"53011","0409.04","53","11102","WA","Clark WA","Clark County (West Central)--Salmon Creek & Hazel Dell",5797,1 
"53011","0409.05","53","11104","WA","Clark WA","Clark County (North)--Battle Ground City & Orchards",3157,1 
"53011","0409.07","53","11102","WA","Clark WA","Clark County (West Central)--Salmon Creek & Hazel Dell",4661,1 
"53011","0409.08","53","11102","WA","Clark WA","Clark County (West Central)--Salmon Creek & Hazel Dell",6161,1 
"53011","0409.09","53","11102","WA","Clark WA","Clark County (West Central)--Salmon Creek & Hazel Dell",5088,1 
"53011","0409.10","53","11102","WA","Clark WA","Clark County (West Central)--Salmon Creek & Hazel Dell",4369,1 
"53011","0410.03","53","11101","WA","Clark WA","Clark County (Southwest)--Vancouver City (West & Central)",3968,1 
"53011","0410.05","53","11101","WA","Clark WA","Clark County (Southwest)--Vancouver City (West & Central)",2370,1 
"53011","0410.07","53","11102","WA","Clark WA","Clark County (West Central)--Salmon Creek & Hazel Dell",3066,1 
"53011","0410.08","53","11102","WA","Clark WA","Clark County (West Central)--Salmon Creek & Hazel Dell",3754,1 
"53011","0410.09","53","11102","WA","Clark WA","Clark County (West Central)--Salmon Creek & Hazel Dell",3578,1 
"53011","0410.10","53","11102","WA","Clark WA","Clark County (West Central)--Salmon Creek & Hazel Dell",3385,1 
"53011","0410.11","53","11101","WA","Clark WA","Clark County (Southwest)--Vancouver City (West & Central)",2994,1 
"53011","0411.04","53","11102","WA","Clark WA","Clark County (West Central)--Salmon Creek & Hazel Dell",3799,1 
"53011","0411.05","53","11102","WA","Clark WA","Clark County (West Central)--Salmon Creek & Hazel Dell",5206,1 
"53011","0411.07","53","11102","WA","Clark WA","Clark County (West Central)--Salmon Creek & Hazel Dell",2504,1 
"53011","0411.08","53","11102","WA","Clark WA","Clark County (West Central)--Salmon Creek & Hazel Dell",6626,1 
"53011","0411.10","53","11102","WA","Clark WA","Clark County (West Central)--Salmon Creek & Hazel Dell",5849,1 
"53011","0411.11","53","11102","WA","Clark WA","Clark County (West Central)--Salmon Creek & Hazel Dell",3096,1 
"53011","0411.12","53","11102","WA","Clark WA","Clark County (West Central)--Salmon Creek & Hazel Dell",5249,1 
"53011","0412.01","53","11101","WA","Clark WA","Clark County (Southwest)--Vancouver City (West & Central)",6339,1 
"53011","0412.03","53","11101","WA","Clark WA","Clark County (Southwest)--Vancouver City (West & Central)",4543,1 
"53011","0412.05","53","11101","WA","Clark WA","Clark County (Southwest)--Vancouver City (West & Central)",4649,1 
"53011","0412.06","53","11101","WA","Clark WA","Clark County (Southwest)--Vancouver City (West & Central)",5535,1 
"53011","0413.09","53","11101","WA","Clark WA","Clark County (Southwest)--Vancouver City (West & Central)",4802,1 
"53011","0413.10","53","11103","WA","Clark WA","Clark County (Southeast)--Vancouver (East), Camas & Washougal Cities",4746,1 
"53011","0413.12","53","11101","WA","Clark WA","Clark County (Southwest)--Vancouver City (West & Central)",4038,1 
"53011","0413.13","53","11101","WA","Clark WA","Clark County (Southwest)--Vancouver City (West & Central)",2534,1 
"53011","0413.17","53","11101","WA","Clark WA","Clark County (Southwest)--Vancouver City (West & Central)",4080,1 
"53011","0413.18","53","11101","WA","Clark WA","Clark County (Southwest)--Vancouver City (West & Central)",4733,1 
"53011","0413.19","53","11103","WA","Clark WA","Clark County (Southeast)--Vancouver (East), Camas & Washougal Cities",6022,1 
"53011","0413.20","53","11103","WA","Clark WA","Clark County (Southeast)--Vancouver (East), Camas & Washougal Cities",5941,1 
"53011","0413.21","53","11103","WA","Clark WA","Clark County (Southeast)--Vancouver (East), Camas & Washougal Cities",2808,1 
"53011","0413.22","53","11101","WA","Clark WA","Clark County (Southwest)--Vancouver City (West & Central)",4386,1 
"53011","0413.23","53","11103","WA","Clark WA","Clark County (Southeast)--Vancouver (East), Camas & Washougal Cities",5458,1 
"53011","0413.25","53","11103","WA","Clark WA","Clark County (Southeast)--Vancouver (East), Camas & Washougal Cities",5059,1 
"53011","0413.26","53","11103","WA","Clark WA","Clark County (Southeast)--Vancouver (East), Camas & Washougal Cities",2499,1 
"53011","0413.27","53","11103","WA","Clark WA","Clark County (Southeast)--Vancouver (East), Camas & Washougal Cities",8381,1 
"53011","0413.28","53","11103","WA","Clark WA","Clark County (Southeast)--Vancouver (East), Camas & Washougal Cities",5558,1 
"53011","0413.29","53","11103","WA","Clark WA","Clark County (Southeast)--Vancouver (East), Camas & Washougal Cities",3951,1 
"53011","0413.30","53","11101","WA","Clark WA","Clark County (Southwest)--Vancouver City (West & Central)",4436,1 
"53011","0413.31","53","11101","WA","Clark WA","Clark County (Southwest)--Vancouver City (West & Central)",2565,1 
"53011","0413.32","53","11103","WA","Clark WA","Clark County (Southeast)--Vancouver (East), Camas & Washougal Cities",3622,1 
"53011","0413.33","53","11103","WA","Clark WA","Clark County (Southeast)--Vancouver (East), Camas & Washougal Cities",3270,1 
"53011","0414.00","53","11103","WA","Clark WA","Clark County (Southeast)--Vancouver (East), Camas & Washougal Cities",5075,1 
"53011","0415.00","53","11103","WA","Clark WA","Clark County (Southeast)--Vancouver (East), Camas & Washougal Cities",2732,1 
"53011","0416.00","53","11101","WA","Clark WA","Clark County (Southwest)--Vancouver City (West & Central)",3603,1 
"53011","0417.00","53","11101","WA","Clark WA","Clark County (Southwest)--Vancouver City (West & Central)",3919,1 
"53011","0418.00","53","11101","WA","Clark WA","Clark County (Southwest)--Vancouver City (West & Central)",4037,1 
"53011","0419.00","53","11101","WA","Clark WA","Clark County (Southwest)--Vancouver City (West & Central)",2056,1 
"53011","0420.00","53","11101","WA","Clark WA","Clark County (Southwest)--Vancouver City (West & Central)",1603,1 
"53011","0421.00","53","11101","WA","Clark WA","Clark County (Southwest)--Vancouver City (West & Central)",3155,1 
"53011","0423.00","53","11101","WA","Clark WA","Clark County (Southwest)--Vancouver City (West & Central)",2858,1 
"53011","0424.00","53","11101","WA","Clark WA","Clark County (Southwest)--Vancouver City (West & Central)",1995,1 
"53011","0425.00","53","11101","WA","Clark WA","Clark County (Southwest)--Vancouver City (West & Central)",1176,1 
"53011","0426.00","53","11101","WA","Clark WA","Clark County (Southwest)--Vancouver City (West & Central)",4653,1 
"53011","0427.00","53","11101","WA","Clark WA","Clark County (Southwest)--Vancouver City (West & Central)",4320,1 
"53011","0428.00","53","11101","WA","Clark WA","Clark County (Southwest)--Vancouver City (West & Central)",2772,1 
"53011","0429.00","53","11101","WA","Clark WA","Clark County (Southwest)--Vancouver City (West & Central)",1545,1 
"53011","0430.00","53","11101","WA","Clark WA","Clark County (Southwest)--Vancouver City (West & Central)",1756,1 
"53011","0431.00","53","11101","WA","Clark WA","Clark County (Southwest)--Vancouver City (West & Central)",3884,1 
"53013","9602.00","53","10600","WA","Columbia WA","Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",4078,1 
"53015","0003.00","53","11200","WA","Cowlitz WA","Cowlitz, Pacific & Wahkiakum Counties",509,1 
"53015","0004.00","53","11200","WA","Cowlitz WA","Cowlitz, Pacific & Wahkiakum Counties",3612,1 
"53015","0005.01","53","11200","WA","Cowlitz WA","Cowlitz, Pacific & Wahkiakum Counties",2826,1 
"53015","0005.02","53","11200","WA","Cowlitz WA","Cowlitz, Pacific & Wahkiakum Counties",4858,1 
"53015","0006.01","53","11200","WA","Cowlitz WA","Cowlitz, Pacific & Wahkiakum Counties",3867,1 
"53015","0006.02","53","11200","WA","Cowlitz WA","Cowlitz, Pacific & Wahkiakum Counties",3017,1 
"53015","0007.02","53","11200","WA","Cowlitz WA","Cowlitz, Pacific & Wahkiakum Counties",3079,1 
"53015","0007.03","53","11200","WA","Cowlitz WA","Cowlitz, Pacific & Wahkiakum Counties",1601,1 
"53015","0007.04","53","11200","WA","Cowlitz WA","Cowlitz, Pacific & Wahkiakum Counties",7029,1 
"53015","0008.00","53","11200","WA","Cowlitz WA","Cowlitz, Pacific & Wahkiakum Counties",6727,1 
"53015","0009.00","53","11200","WA","Cowlitz WA","Cowlitz, Pacific & Wahkiakum Counties",7008,1 
"53015","0010.00","53","11200","WA","Cowlitz WA","Cowlitz, Pacific & Wahkiakum Counties",1226,1 
"53015","0011.00","53","11200","WA","Cowlitz WA","Cowlitz, Pacific & Wahkiakum Counties",5856,1 
"53015","0012.00","53","11200","WA","Cowlitz WA","Cowlitz, Pacific & Wahkiakum Counties",4386,1 
